Project Name,Project Description,Trait,Plant ID,Value,DNA ID
AMT-25-0001,nitrogen assimilation,NLP4,200,28-1-1,476
AMT-25-0001,nitrogen assimilation,NLP4,201,28-1-2,477
AMT-25-0001,nitrogen assimilation,NLP4,202,28-1-3,478
AMT-25-0001,nitrogen assimilation,NLP4,203,28-1-4,479
AMT-25-0001,nitrogen assimilation,NLP4,204,28-2-1,480
AMT-25-0001,nitrogen assimilation,NLP4,205,28-2-2,481
AMT-25-0001,nitrogen assimilation,NLP4,206,28-2-3,482
AMT-25-0001,nitrogen assimilation,NLP4,207,28-2-4,483
AMT-25-0001,nitrogen assimilation,NLP4,208,28-2-5,484
AMT-25-0001,nitrogen assimilation,NLP4,209,28-2-6,485
AMT-25-0001,nitrogen assimilation,NLP4,210,28-2-7,486
AMT-26-0001,Grain Size,OsSNB,211,47-3-1,487
AMT-26-0002,Grain Size,OsSNB,212,47-3-2,488
AMT-26-0003,Grain Size,OsSNB,213,47-3-3,489
AMT-26-0004,Grain Size,OsSNB,214,47-3-4,490
AMT-26-0005,Grain Size,OsSNB,215,23-5-1,491
AMT-26-0006,Grain Size,OsSNB,216,23-5-2,492
AMT-26-0007,Grain Size,OsSNB,217,23-5-3,493
AMT-26-0008,Grain Size,OsSNB,218,23-5-4,494
AMT-26-0009,Grain Size,OsSNB,219,23-5-5,495
AMT-26-0010,Grain Size,OsSNB,220,23-5-6,496
